Tweet ID,Tweet created date,Tweet,Retweet count,Tweet source,User ID,User location,User follower,User name,Friends count,Status count,Language,Tweeted date
8.42E+17,Thu Mar 16 14:19:28 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,7.83E+17,New Delhi Rohini,None,vijaysumaninsan,5,927,en,16-03-2017
8.42E+17,Thu Mar 16 14:21:11 +0000 2017,Nice place..... So sweet  #MotoG5Plus  #  #BeautyAndTheBeast https://t.co/heYoulPDlW,0,Twitter for Android,8.42E+17,Mettur ,None,SathishOfcc,157,53,en,16-03-2017
8.42E+17,Thu Mar 16 14:21:14 +0000 2017,RT @sunchets: #TheRealtiy__OfQuran         #  https://t.co/oYYDbuVpb2 https://t.co/zB7B6829j7 #motog5...,0,Twitter for Android,8.22E+17,new delhi india,None,sudhir96906040,300,818,en,16-03-2017
8.42E+17,Thu Mar 16 14:21:54 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,3307054953,jaffer pur Najfgarh New Delhi,None,navneetgoswami6,15,1225,en,16-03-2017
8.42E+17,Thu Mar 16 14:22:00 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,1545518287,Rayagada,None,mprasanth203,58,2,en,16-03-2017
8.42E+17,Thu Mar 16 14:22:11 +0000 2017,RT @Moto_IND: #uncompromise on a precision-crafted metal design with the new #motog5plus. Buy from @Flipkart  starting Rs 14 999!... ,0,Twitter for Android,1159782859,Garden city(Bengaluru),None,GuptaWords,626,53516,en,16-03-2017
8.42E+17,Thu Mar 16 14:22:45 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,8.10E+17,Andhra Pradesh  India,None,Madras_N,87,710,en,16-03-2017
8.42E+17,Thu Mar 16 14:24:13 +0000 2017,I liked a video: #MotoG5Plus - first impression by @gizbotcom : https://t.co/u1chuWJ6a4 via @YouTube,0,Twitter for Android,136502817,Mangaldai ASSAM(INDIA),None,manjit_mld,527,48513,en,16-03-2017
8.42E+17,Thu Mar 16 14:29:21 +0000 2017,RT @Moto_IND: #Uncompromise on everything that you want in a phone with the #motog5plus. Starting at Rs.14 999  only on @Flipkart. https://...,0,Twitter for Android,161977555,New Delhi  Delhi,None,jeet_channa,115,4588,en,16-03-2017
8.42E+17,Thu Mar 16 14:31:30 +0000 2017,Visit https://t.co/ut7CEKc1W8 -&amp; let us prove that:Allah is God.Jesus is a prophet.atheism is false.We have logical proves! #MotoG5Plus,0,Twitter for Android,2493849365,read Quran  in 25 languages ,None,_4yossiF,1421,18750,ar,16-03-2017
8.42E+17,Thu Mar 16 14:31:34 +0000 2017,#motog5plus https://t.co/Xj7JpSSTbS,0,Twitter for Android,164394764,Chitrakoot Dham  India,None,Suburajput,397,1263,en,16-03-2017
8.42E+17,Thu Mar 16 14:32:14 +0000 2017,RT @mahavir0017: #motog5plus https://t.co/Y8MBgAzQbg,0,Twitter for Android,7.37E+17,Lucknow  India,None,BrijNathShukla2,286,6331,en,16-03-2017
8.42E+17,Thu Mar 16 14:32:23 +0000 2017,RT @Moto_IND: Chop-chop and voila! #motog5plus #motoactions https://t.co/PIfGTNFjPx,0,Twitter Web Client,8.04E+17,Bihar  India,None,MdAslam96616723,581,44,en,16-03-2017
8.42E+17,Thu Mar 16 14:33:55 +0000 2017,RT @tech2eets: #MotoG5Plus first impressions: The Moto G series in metal  https://t.co/bLyrddGYv9 @Moto_IND https://t.co/cSxucoJGtc,0,Twitter for Android,43372046,Mumbai  Maharashtra,None,imshirishdedhia,1810,6917,en,16-03-2017
8.42E+17,Thu Mar 16 14:34:14 +0000 2017,I was just waiting for such phone from Moto ..  I am Moto fan from when u launched Moto Razor !  #gohigh... https://t.co/WuRrbsKmE9,0,Twitter for Android,1446670062,Los Angeles  CA,None,sahilburle,7,2,en,16-03-2017
8.42E+17,Thu Mar 16 14:34:22 +0000 2017,RT @Smartprix: #MotoG5Plus Hands-on review: The MotoG5Plus feels a lot better than what the press renders would suggest.... ,0,Twitter for Android,43372046,Mumbai  Maharashtra,None,imshirishdedhia,1810,6918,en,16-03-2017
8.42E+17,Thu Mar 16 14:34:24 +0000 2017,RT @udittrivedi89: #MotoG5Plus #motorola #smartphone #Flipkart New moto g5 plus launched with exciting launch offers! Check it  https://t.c...,0,Twitter for Android,121513009,Ahmedabad,None,udittrivedi89,74,58,en,16-03-2017
8.42E+17,Thu Mar 16 14:34:25 +0000 2017,RT @ca_hiten: @Moto_IND @Flipkart I have bought one for me and many of my friends in my circle have also bought. #MotoG5Plus . Waiting to r...,0,Twitter for Android,43372046,Mumbai  Maharashtra,None,imshirishdedhia,1810,6919,en,16-03-2017
