twt_id,twt_created_at,twt_text,twt_rt_count,twt_source,twt_user_id,twt_user_location,twt_user_following,twt_user_screen_name,twt_user_friends_count,twt_user_statuses_count,twt_user_lang,twt_user_created_at
844930406268964864,Thu Mar 23 15:14:41 +0000 2017,  Philip Hammond confirms that billions will go into #Brexit reserve rather than the #NHS ,0,,575781799,Glasgow  Scotland,None,AileanBan53,2630,14049,en,23-03-2017
844930441195012096,Thu Mar 23 15:14:49 +0000 2017,  Yes: keep making it clear that the march on 25 March is STOP #BREXIT. There are no hard &amp; soft Brexits  there's onl... ,0,,20585449,Europe,None,sxybio,4959,50188,en,23-03-2017
844930444281987074,Thu Mar 23 15:14:50 +0000 2017,  Mar 21: MORGAN STANLEY: We will 'certainly' move people out of London before Brexit happens   #B...,0,,811077433,London  England,None,irwinlon55,351,658,en,23-03-2017
844930472023134209,Thu Mar 23 15:14:57 +0000 2017,  This week @fsb_policy launched keep trade easy a report looking at what #smes want from #brexit... ,0,,243774874,Priorslee  Telford,None,RachaelOakIFA,1807,12351,en,23-03-2017
844930502008168448,Thu Mar 23 15:15:04 +0000 2017,Are we sure that #LSE  has learned lessons following its prediction of big declines of GDP after #brexit ? Promise... ,0,,388362366,London,None,FrostTim,116,242,en,23-03-2017
844930529778634757,Thu Mar 23 15:15:11 +0000 2017,  This week @fsb_policy launched keep trade easy a report looking at what #smes want from #brexit... ,0,,84300684,North East England,None,FSBnortheast,462,8805,en,23-03-2017
844930529514475520,Thu Mar 23 15:15:10 +0000 2017,  This week @fsb_policy launched keep trade easy a report looking at what #smes want from #brexit... ,0,,260165412,West Yorkshire,None,FSBwestyorks,1542,4752,en,23-03-2017
844930533478092801,Thu Mar 23 15:15:11 +0000 2017,Skilled staff behind fall in EU workers in UK via //t.co/d5iaqHJylf,0,,3235220435,United Kingdom,None,UKIPNFKN,12041,120675,en,23-03-2017
844930537240301570,Thu Mar 23 15:15:12 +0000 2017,  #Oxford 29/3 Share hopes &amp; fears of #Brexit. Be heard  create change  personally  local  national &amp; internationally... ,0,,1443529736,UK,None,creatingpeaceuk,256,495,en,23-03-2017
844930539522052096,Thu Mar 23 15:15:13 +0000 2017,The people of Breggsit Island are reminded that 'The will of the people' comes first no matter what #Brexit... ,0,,840237730923700231,Woking  South East,None,Breggsit_Island,59,76,en,23-03-2017
