8.44471E+17,Wed Mar 22 08:49:19 +0000 2017,#black #woman usa #getafe #sexy money #tallahassee #hotgirls lens #apple https://t.co/mOWgxbJkrg,0,medvedevvintse147,8.41141E+17,Paterson,None,medvedevvintse1,109,548,ru,22-03-2017
8.44471E+17,Wed Mar 22 08:49:19 +0000 2017,Apple (AAPL) Introduces New iPhone SE #Apple https://t.co/nEo0f7gVjI https://t.co/JLHMgW6LjO,0,dlvr.it,3035457045,Lancaster  PA  USA,None,m33lina,14226,653384,en,22-03-2017
8.44471E+17,Wed Mar 22 08:49:20 +0000 2017,iPhone SE vs. Sony Xperia Z5 Compact: What s the Best Smartphone? #iPhoneSE #AppleEvent #iPhone #iPhoneSE #Apple... https://t.co/zsVEeTJL7k,0,dlvr.it,2799095357, Massachusetts,None,lyndnns,25191,538959,en,22-03-2017
8.44471E+17,Wed Mar 22 08:49:21 +0000 2017,Enfin  la location dun film nest plus limitee a un support sur #iTunes \o/ #Apple,0,Twitter for Mac,99978723,France,None,ddargaud,446,110963,fr,22-03-2017
8.44471E+17,Wed Mar 22 08:49:21 +0000 2017,#Apple s new iDevices say: Small is beautiful  too #Apple https://t.co/KNT2D3Y1FN https://t.co/ZXX6KDwSdv,0,dlvr.it,3035905625,USA,None,0am8er,13939,564417,en,22-03-2017
8.44471E+17,Wed Mar 22 08:49:23 +0000 2017,3/22 ipad Retina Wi-Fi+Cellular 64GB 28 000! 18 000! https://t.co/daaN15iUA0 #ipad #Retina #Wifi #apple,0,Twitter Web Client,2590730568,7-9-15-3F,None,keitaigod,3362,81304,ja,22-03-2017
8.44471E+17,Wed Mar 22 08:49:25 +0000 2017,#Apple s  Loop You In  iPhone event  by the numbers #Apple https://t.co/8ZUenkK5Mx https://t.co/A70TBsNG2K,0,dlvr.it,3035639776,Kentucky,None,ann1rt,9302,489451,en,22-03-2017
8.44471E+17,Wed Mar 22 08:49:34 +0000 2017,RT @MacBiXo: Que basura esta sacando #apple ultimamente? Sr. Tim Cook  espabile o sera el proximo John Sculley...,0,Twitter for iPhone,312007513,Barcelona (Catalunya),None,bbquim,156,124,es,22-03-2017
8.44471E+17,Wed Mar 22 08:49:49 +0000 2017,3/22 ipad Retina Wi-Fi+Cellular 32GB 25 000! 15 000! https://t.co/it9XiNwmQ7 #ipad #Retina #Wifi #apple,0,Twitter Web Client,2590730568,7-9-15-3F,None,keitaigod,3362,81305,ja,22-03-2017
8.44471E+17,Wed Mar 22 08:49:51 +0000 2017,RT @ddargaud: Enfin  la location dun film nest plus limitee a un support sur #iTunes \o/ #Apple,0,Twitter for iPhone,30915093,Un peu a l Ouest,None,YogiDmise,2249,20898,en,22-03-2017
